Comments,n_stars,Label
Máy bị lỗi màn hình hên là còn bảo hành nên đc thay miễn phí. Đem đi bảo hành cũng mất hớn 1 tháng mới có máy. Nghĩ vẫn tức tự nhiên bị thay linh kiện trong khi lỗi đó đâu phải mk gây ra.,2,
Dùng hơn 1 năm mọi thứ điều ổn có điều dùng cẩn thận lắm vẫn tróc sơn vấn đề tróc tróc sơn là muôn thuở với iphone làm từ vật liệu nhôm 13 thường cầm nắm gọn nhẹ thích hợp cho người dùn phổ thông.Đến nay iphone 13 đã giảm thời gian này nên mua trải nghiệm,5,
Máy gì thoát ra hoài nổi quạo ah,3,
OK men,4,
Tốt,4,
máy dùng tốt mượt mỗi tội màu xanh lá của mình dễ bị tróc sơn khung viền quá,5,
Mây cắm sạc bị nóng,3,
thegioididong có thu máy cũ ko,5,
Nice,5,
Rất tốt,4,
Mình mua màu đen nhưng đem về nhà thấy màu xanh,4,
Khá Tốt,4,
Tốt,5,
Sản phẩm tốt,5,
Nc Thai do tot,5,
"Úi qua vừa đi mua xong phải nói là chim ưng nhaa. Nhân viên tư vấn nhiệt tình nữa, dùng thích lắm luôn. Màu Hồng đẹp thực sự",5,
Nhân viên giao hàng nhiệt tình,5,
Xịn,5,
nv tư vấn nhiệt tình..anh quản lí thì bao dễ thương..xử lí rất hợp tình hợp lí..,5,
Gooodd,5,
Máy mượt .gia công tốt.thời lượng pin tốt khá hài lòng,5,
Mọi thứ đều ok,5,
"Máy mượt, pin OK, không nóng máy, dùng lâu cảm nhận thêm. Mình đi rất nhiều nơi để tham khảo nhưng cuối cùng vẫn quyết định chọn mua tại TGDD dù giá cao hơn nhưng dịch vụ khách hàng theo mình đánh giá vẫn tốt nhất, trước giờ mình chỉ mua tại tgdd, cảm ơn em gái tgdd 14 võ văn ngân tư vấn, hướng dẫn tận tình. Sẽ tiếp tục ủng hộ TGDD😊.",5,
Tốt,5,
Ổn,4,
Tốt,5,
Tốt,5,
"Giao hàng nhanh chóng, nhân viên nhiệt tình",5,
Ok,5,
Ok,4,
Good,4,
"Camera sau bị dính bụi bên trong, mong bạn có biện pháp khắc phục với tôi.",2,
Vừa ý,5,
Điện thoại mới mà sạc pin nóng quá,3,
Sản phẩm rất tốt,5,
Cảm thấy dùng rất ok,4,
Ok,5,
"Cái đầu tiên là màu gấc xink nha, đúng màu mình thích Sử dụng ổn tốt, mới sử dụng đc hơn tuần nên mọi thứ vẫn okela chưa có lỗi gì",5,
xai chua co lỗi gi xay ra,4,
"tốt, không bị lag, nhiều chức năng mới, cam đẹp",5,
Máy đẹp xài ok tin tưởng hàng Apple,5,
"Iphone 13 mới mua về sạc đã nóng máy... Trong camera trước có bụi và dấu keo nhưng nhân viên thế giới di động không nhìn thấy bắt gửi lên hãng kiểm tra. Hãng kiểm tra thì bảo xác nhận với thế giới di động. Vậy tóm lại điẻn thoại đó của ai. Máy sạc nhanh nóng hỏi đi bảo hành kêu chạy chương trình xog gửi về sạc lên vẩn y z. Gửi đi lần 2 cũng báo máy bình thường. Kiểm tra điện thoại cái kiểu dùng máy test .. thực tế không kiểm . Báo máy bình thường. Nói riết cái đổ thừa cóc sạc nóng nên điện thoại nóng. Cóc sạc zin mua thế giới di động ,mới mua mà hư. Kiêu bảo hành cóc sạc. Rồi kiểm tra cóc sạc mà điện thoại còn nóng nữa thì do cái gì. Sạc từ 22v AC sang DC mà bảo không nóng sao được. Hỏi bao nhiêu người dùng iphone rồi sạc nhanh có nóng máy không. Chả ai bị. Tới điện thoại mình nóng gửi hãng báo mình thường... sạc nóng 42 độ mà điều hòa đang bật vậy bảo bình thường. Sợ đổi máy mới cho khách hàng hay sao. Mua iphone 2 lần ở tgdd đều gặp tình trạng lỗi. Và phải đem đi bảo hành nhiều lần. Rất lầ mất thời gian. Lần sau có mua cũng không mua ở tgdd. Ai mua điện thoại nhớ kiểm tra hộp có bị đóng seal hay bị gì không nhé. Chứ điện thoại giảm giá toàn đồ lỗi không á. Người không biết mua mất quyền lợi đó",1,
Sp quá tốt,5,
máy mới nhưng hơi trậm lâu lâu lại có hiện tượng trượt để nghe nhưng k trượt được,2,
.,3,
Good,5,
Ngon bổ nhưng không rẻ 😂,5,
Nhân viên phục vụ tận tình chu đáo,4,
Máy xài tốt ok.,4,
Điện thoại xài tốt!,5,
Hàng OK,5,
Cho hỏi mọi người cam sau 13 này sao lại hiện 2 cái vết tròn ngay 2 mắt vậy ạ,3,
"Hàng mới nguyên tem hộp, chất lượng👌",4,
sản phẩm chất lượng,5,
Máy sử dụng ok mượt,4,
"Máy sử dụng ngon, hợp lý trong tầm giá",5,
Good,5,
Mình xài được gần 4 tháng nhưng tình trạng pin của mình là 99% dù mình xài rất kỹ đủ pin mới rút ra và đủ 100% pin nhoè kỹ thuật cho mình hỏi vấn đề này ?,3,
"nhân viên phục vụ nhiệt tình, vui vẻ",5,
ngon mạnh mượt 😂😂😂,5,
Điện thoại cũm ok ak,5,
Ok tuyệt vời,5,
"Sản phẩm chính hãng chất lượng,máy rất mượt",5,
Máy chạy rất mượt tốt,5,
tôi mua sẵn phẩm do dien may xanh phân phổi bán tôi rất hai lòng,5,
Okok,5,
Giá còn cao - trả góp còn mất chênh lệch.,3,
"Dùng mượt ,chụp ảnh đẹp.bên ngoài máy đẹp",4,
Sài sau 1 tuần máy vẫn mượt đáng để mua,4,
Rất tốt,5,
iPhone 13 dùng rất tốt,5,
Ai mà k thích màn hình nhỏ nên cân nhắc nhé. Nchung máy sài ok.,5,
Mình thấy hài lòng với sản phẩm này,4,
Rất tốt,5,
Hiện tại chưa nhận ra lỗi gì ở máy,4,
Rất ok,5,
Máy thì sử dụng ok. Nhưng ko hài lòng. Bỏ ra 24tr mà máy bị tróc lớp sơn nhìn rất khó chịu.,4,
Sản phẩm ok,5,
Rất hài lòng về sản phẩm,3,
Oke,4,
Sản phẩm tốt,5,
Rất tốt,5,
Mình mua xài được 2 thang minh xài rất kỹ dung ốp lưng và may k he bị rớt.nhưng ma khi thao ốp lưng ra vien của may bi nhâm nhâm canh viên như bi troc son vay.,2,
Cũng tốt,4,
Ok,5,
Ok,5,
Dhdjsh,4,
Mọi thứ đều rất tốt..đồ nước ngòak chất lượng quá chời..phải chi pin đc 5000ahm,4,
Sản phẩm tốt,5,
Tuyệt,5,
Sao hop màu đen sau máy màu xanh,3,
"xài rất ok vừa tay,lại nhẹ nhàng",5,
Tải tài nguyên liên quân mái nóng nha k biết có ai như mình k,5,
Ok,5,
Ok,5,
Hiện tại dùng tốt,4,
Dịch vụ tư vấn tốt tiện lợi,4,
Thích,5,
Rất ok,5,
Mượt,4,
"ĐT đẹp, nữ xài rất hợp",5,
Ok,5,
Tốt,5,
Máy tốt pin cũng trâu,4,
"Nhân viên lịch sự, máy tốt rất hài lòng.",5,
tốt,5,
Iphone 13 mới xài hơn 1 tháng pin còn 99 là ổn không vậy,4,
Tốt,4,
Mua ko ưng trả lại mất 4 củ vcl,1,
Dt OK Sài mượt,5,
Sản phẩm rất tốt,5,
Mới dùng thấy mượt. Mọi thứ đều ổn. Ko biết sau này ntn.,4,
Iphone quá ok,5,
Sp tốt,5,
Máy tốt chất lượng OK,4,
Ok,4,
Cũng ok,5,
Rõ lần đầu chuyển sang iPhone mà gặp trường hợp bịp 13/11 mà có sài bảo ve cam hay j mà viền cam như đã bị lắp cần lời giải thích,2,
E mua màu trắng 128gb ngày 20/3. Giờ thu lại thì đc tầm bnhieu ạ,3,
Tốt,5,
"Máy đẹp, pin dùng lâu và rất mát máy.",5,
Rất hài lòng,5,
Tin tưởng sản phẩm chất lượng cao,4,
"Đánh giá sản phẩm tốt, nhân viên tư vấn dễ thương nhiệt tình",5,
Tốc độ vào mạng 4G chậm,3,
"Máy dùng ổn, mượt mà, pin khá lâu, cũng được taam 1 ngày nếu dùng nhiều. Mình mới chuyển từ androi sang ios nên chưa quen tay lắm. Đánh giá máy 10 điểm thì đánh giá nhân viên 10+ luôn, rất ưng Tgdd.",5,
"Mới mua, cũng còn mới, đẹp, chưa thấy lỗi lầm gì.",5,
Dùng tốt,4,
"Sản phầm tốt, dịch vụ và nhân viên đều nhiệt tình",5,
Oki nháaaaaaaa,5,
Rất tốt,5,
Oki,5,
Sài êm mượt sạc 100% sài nguyên ngày đến 10h đêm vẫn còn 30% pin,5,
Rất tốt,5,
Cho e hỏi tại sao gọi video zalo máy nóng quá ạ,4,
sử dụng 3 tháng tình trạng pin còn 99%. mặc dù sử dụng rất cẩn thận và sạc pin tuân thủ sạc đầy 100% mới sử dụng.,3,
"Máy đẹp, cấu hình mạnh, sạc nhanh. Còn pin thì thấy cũng ổn.",5,
máy nét nẹt,5,
Sản phẩm tốt 5 sao Nhân viên điện máy xanh tại đây tư vấn rất tốt 6 sao,5,
Rất tốt,5,
Rất tốt,5,
Hài lòng,4,
Mới dùng nên thấy ok . Pin khỏe .,4,
Máy dùng rất tốt,5,
Ổn,5,
Để qua đêm ko chơi tụt 30% pin máy mới mua đước 5 hôm,3,
Sản phẩm chất lượng tốt,4,
Máy dùng ok,5,
Good,5,
Sử dụng mới 5 tháng chưa hết bảo hành bị tróc sơn khung viền lấy tay lau phát trôi luôn lớp nước sơn yêu cầu sửa chữa không sửa mà kêu gửi hãng thay luôn khung...... bỏ tiền ra vì tin tưởng chất lượng sản phẩm ....làm tôi tin tưởng bấy lâu nay,2,
Dùng êm lướt sóng rất mượt,5,
Tốt,5,
ok,4,
Sản phẩm tốt,5,
Nhân viên rất nhiệt tình,5,
"Mình mua máy phải chờ 3 tiếng đồng hồ để cài đặt sang dữ liệu 1. Bạn nhân viên bán hàng giọng miền nam tên yến nhi gì đó quá chậm chạp kém linh hoạt, thái độ phục vụ kh mức rất kém. Bạn ấy ko biết cài và mất hơn 1 tiếng loay hoay mới gọi ng trợ giúp, quá kém, ko cảm nhận dc sự sốt ruột từ kh, vẫn vừa cắm vào máy vừa cài vừa ngồi nói ch với 1 bạn nam nhân viên khác, ko hề cảm nhận dc sự sốt ruột từ kh 2. Bạn ấy nói kỹ thuật hôm đó nghỉ nên bạn tự làm 3. Đến khi chờ quá lâu bạn kỹ thuật đang hỗ trợ từ xa nói c mang máy tới cửa e nguyễn trãi để e hỗ trợ c tiếp, hix, chờ hơn 2 tiếng ko xong, cuối cùng bảo kh tự đi đến đó giữa trưa chiều nắng để dc hỗ trợ tiếp 3. Cuối cùng khi mình về anh quản lý đã xin lỗi và cài giúp mình ok . Chốt lại: Mình đã có 1 trải nghiệm dịch vụ chưa bao giờ tệ hại và ôm cục tức vào ng như ở thế giới di động vạn phúc hà đông Thiết nghĩ nhân viên yến nhi gì đó cần dc đào tạo thái độ nghiệp vụ để bán hàng tốt hơn Mang cục tức nguyên 1 tuần, chờ mãi ko thấy nhân viên nào gọi cskh để mình có cơ hội giải toả stress bực tức hôm đó",1,
👍,5,
ok,4,
Sài 9 tháng pin còn 98% . Như vậy có ổn ko hay là lỗi máy vậy ad?,5,
Tốt,5,
Tốt lắm,5,
Máy đẹp. Pin trâu....,5,
tất cả hoàn hảo nhưng chả thấy tặng kèm cái j cả. 1 cái ốp lưng cũng kh có,5,
😊,5,
Sao lúc bật mạng 4g mà nó nhấp nháy mấy cái chỗ bật mạng vậy.ngày xưa dùng hệ điều hành cũ bị.lên bản cập nhập mới lúc đầu k bị giờ cứ bật tắt mạng là nó cứ nhấp nháy à,3,
dich vụ tốt .máy đẹp,5,
Mượt,5,
tuyệt vời,5,
Rất hài lòng,5,
Sản phẩm sử dụng ổn,4,
"Sản phẩm kém, lỗi kéo dài.",1,
Trên cả tuyệt vời mỗi tội vừa trả góp tất toán hợp đồng xong ra cửa rơi mất 😔,5,
"Ngon nhaaa, mỗi tội sạc nhanh vẫn nóng như các máy khác thoii =))",5,
Nhân viên tư vấn và siêu thị làm tôi rất hài lòng,5,
Máy sạc pin bị nóng,3,
"Trên hệ thống thì cập nhật còn 6 tháng bảo hành mà khi nhận máy thì chỉ còn 3 tháng bhanh, nên cập nhật tt chính xác hơn, vì cần máy nên mới lấy chứ k là gửi lại rồi",3,
"Sản phẩm đẹp, chạy mượt, giá hợp lý",5,
Nhân viên tư vấn nhiệt tình Sản phẩm chất lượng,5,
Tuyệt vời,4,
Tốt,5,
"Mua đt ở tgdd f1, nhưng đợi bàn giao đth hơi bị lâu hơn 1h mới xong. Cảm nhận về con 13 của mình là mượt cute lắm, xài thoải mái cả ngày mới hết pin",4,
Máy đẹp ổn mua cho mẹ khen,5,
Máy rất mới rất hài lòng,5,
Ok,5,
"S/P rất ok.nhưng pin để qua đêm k dùng k bật mạg,wif lại mất 5-6% pin hơi bị ức chế",4,
Sản phẩm chất lượng,5,
Nhân viên tư vấn rất tốt,5,
khá tốt,5,
"Mới mua máy 2-3 ngày nghe gọi rè tiếng kinh khủng rất khó chịu, mới mua unbox dc 2-3 ngày đi bảo hành :)) mình chẳng trách gì mấy ng nhân viên ko tốt đâu chẳng qua đi làm thuê như nhau cả thôi, trách là mình quá dễ dãi chốt nhanh trả tiền ngay ko đắn đo, tư vấn thì bảo rằng 1 đổi 1 trong 1 tháng nếu phát hiện lỗi nsx hư gì đổi nấy, đem ra 1 lần check nhân viên nói chung chung có thể do mạng hay bên ng gọi bên kia rồi mình cũng ậm ừ mang về, ngày hôm sau thì mình tới cửa hàng 1 lần nữa thì đem đi bảo hành :))) vậy là phải tháo máy ra sửa chữa sao, mình tưởng đổi máy khác luôn chứ.. đấy là do mình nghe ko kỹ hay là nhân viên tư vấn dc bề nổi thôi, thôi lần đầu đi mua tgdd có trải nghiệm như z cũng hơi thất vọng",2,
Tôt,4,
màu hồng siêu xinh lun ý ^^,5,
Đt tốt ok chất lượng,4,
"Sản phẩm tốt. Nhân viên nhiệt tình, chu đáo.",5,
Tốt,4,
Điện thoại mới 100% chưa xảy ra vấn đề gì nên tạm thời dùng tốt chưa có gì để nói thêm :))),5,
Tốt,5,
"Tạm thời thấy khá ok, mong tgdd luôn nâng tầm để kh có những trải nghiệm tốt hơn nữa!",5,
Mlem,5,
Ok,4,
"Máy mượt, pin trâu, nhân viên nhiệt tình, sẽ tiếp tục ủng hộ!",5,
Hiện tại đang trải nghiệm sảm phẩm,5,
"Điện thoại tuy dùng tốt nhưng chỉ được tặng mỗi dây sạc, trong khi củ sạc nó lại khác với các dòng ip trước đây, tai nghe cũng không",4,
Ok,5,
Thật sứng đáng đồng tiền bỏ ra mua con này sài quá ok với lại nhân viên nhiệt tình và thân thiện cho 10 sao luôn 😂😂,5,
"Tggd o 1077 hậu Giang quận 6 may a c o6 đây u phục vụ khách hàng rất nhiệt tình, cảm ơn a nhật rất nhìu ạ",5,
phục vụ rất tốt nhân viên tgdd và điện máy xanh lúc nào cũng luôn chuyên nghiệp,5,
Từ lúc mua đt tới giờ chưa thấy có vấn đề nào cả 👍🏻,5,
"Phải nói là máy quá tốt, pin trâu hơn dòng iphone trước. Ai không thích máy to, nặng như bản Pro max thì nên chọn mẫu này, thích nhất cách thiết kế Camera là điểm nhấn của máy. Nhân viên Tgdđ Phường 1, Tp Trà Vinh rất thân thiện",5,
minh mua ip13 mau xanh duong dc 8 ngay minh muon doi mau den ip13,5,
"hài lòng , nv nhiệt tình, máy tốt, máy hồng, nguyên seal ko có gì để chê cả. nhân viên cửa hàng 26 phan đăng lưu bình thạnh phục vụ rất tốt, nhanh chóng , rất nhiệt tình, hi vọng máy bền, dùng ổn.",5,
Mình mới dùng được hơn một tháng mà pin tụt còn 99% trong khi đó minh ko chơi game chi sử dụng để nghe gọi mạng xã hội và cũng sac pin đúng cách,3,
"Sản phẩm của TGDD tôi rất hài lòng nha, mua máy từ 28/10 lúc máy vừa bán xài đến nay đã gần 5 tháng mà máy vẫn 100% pin tất cả đều mượt ủng hộ TGDD",5,
Iphone 13 mình mua tgdd hôm 20/2 đến 16/3 đã giảm pin còn 98% có phải có vấn đề k ạ,3,
"Mới mua lúc sáng nhân viên tư vấn tận tình,chu đáo.",5,
"Quá ổn, đẹp, có camera chéo nổi bật.",5,
- nhân viên phục vụ rất tốt.,5,
Mình mua ip13 được hơn 1 tháng. Giờ đổi lấy tiền mặt thì được bao nhiêu ạ,4,
"Dùng đúng 1 tháng pin xuống còn 99 , để qua đêm thì tụt 3% pin, mà máy ko chơi, ko tải game gì cả",3,
Máy oke nhưng có cái pin hơi mau hết xíu ạ,4,
Dùng đáng giá tiền luôn nhé ae 👌,5,
Mình dùng và và trải nghiệm hiệu năng rất tốt. Có điều màn hình do iphone bảo vệ mắt người dùng lên ko xuất sắc như đời iphon6s (hơi ngả vàng) dùng lâu cũng quen. Cần nắm thao tacx tốt,5,
Ok nhé,5,
"Nhân viên tư vấn nhiệt tình, vui vẻ, sản phẩm rất ưng ý",5,
Dùng thích,4,
Nói chung máy tốt pin xài trong ngày ok có đều lâu lâu máy bị đơ phải tắt nguồn mới hết,4,
"Mới dùng được hơn tháng. Mọi thứ đều ổn, còn về lâu dài thì sau này mới biết đc. Tóm lại ok với giá tiền bỏ ra",4,
"Mình thấy dùng ổn, các tính năng oke, pin ổn, đáng mua, nhỏ gọn nữa, mình thấy dễ cầm lắm. Có điều mình cảm giác bàn phím k được nhạy.",5,
Máy hay đơ,3,
Nhân viên chăm sắp tận tình quá.,5,
"Âm thanh trong rỏ ,hình ảnh mượt,pín mạnh xứng tầm giá.",5,
"Máy quốc dân thì thôi khỏi phải bàn, độ hoàn thiện chắc chắn hơn một hãng nào đó cùng tầm tiền.",5,
Tốt lắm,5,
mới mua được 3 tháng mà tình trạng bin tụt còn 96%. mặc dù không vừa sạc vừa sài.,4,
"mua hồi 19.02.2022. Máy cam thì đẹp đó, mà bắt wifi chậm hơn so máy khác, tải tài liệu lên classroom hết 10p mà có tấm ảnh thôi. Còn appstore thì tải ứng dụng cứ bị lỗi phải hủy tải lại. Máy trang web hơi nặng tí là vô là giật lag dù máy không có tải gì nhiều cả toàn là ứng dụng có sẵn thôi, cũng không có ứng dụng ngầm. Khó chịu thật sự.",3,
"Máy mình mua bữa 7/12/2021. Dùng gọi video cho người khác không thấy hình, mà người ta gọi lại thì thấy hình. Lỗi thứ 2: quay video k xem được video mà gửi cho người khác thì xem được! Chờ phản hồi của ad ạ",3,
"cam chính chụp gần bị out nét, quay video cũng vậy, còn lại thì cấu hình siêu mạnh, màn hình đẹp, pin trâu, đáng mua nếu mức giá giảm chút nữa, còn ai nhiều tiền thì chơi thôi :v",4,
Mới mua chưa đầy 2 tháng mà đã vô app giật. Đem bảo hành 1 lần vẫn bị. Giờ nhắn phải đem xuống tận hãng. Mua mắc tiền mà xài ko bền so với giá.,2,
"máy mới ngon, mà sao cứ bị mất sóng sim đột ngột làm mình không duy trì gọi được, ban đêm hơi hao pin những 8%",5,
"Mình mua máy đợt vừa rồi có cài cảm ứng chạm quả táo sau máy mà lúc được lúc không, quay màn hình call video thì mất tiếng đúng chán. chơi titok thì toàn có đề thiết bị không hỗ trợ hiệu ứng mà gần như hiệu ứng nào cũng báo thế quá chán",3,
"Mình mua điện thoại này ngày 23/1/2022. Mua về ít bữa ra nắng phát hiện thấy bụi camera trước, nghĩ do có sẵn lúc sản xuất nên nghĩ không bị thêm. Sau đó tiếp tục theo dõi vài ngày thì bị thêm nhiều hơn và cả camera sau cũng bị và cũng có tình trạng nhiều hơn theo ngày. Nay ngày 4/2/2022 (chưa được 15 ngày), lúc khoảng 18:30’ có ghé qua siêu thị p.Thốt Nốt, q. Thốt Nốt, Cần Thơ báo tình trạng máy. Thì Quản lý nói nữa gửi đi vệ sinh máy. Trong khi đó mình mới mua chưa được 1 tháng giờ phải gửi đi tháo máy ra. mới mua đây mà bị bụi theo ngày nhiều hơn vậy giờ phải gửi đi vệ sinh phải bung máy ra, vậy như máy không còn zin nữa rồi. Phải chi lâu thì không nói. Mới mua đây mà phải vậy. Thấy tiếc tiền và phải suy nghĩ lại chính sách bảo hành và chất lượng của tgdd (chưa nói đến giá tiền) đáng để người dùng tin tưởng và mua hàng tiếp không? Nhờ anh chị xem xét lại. :(",3,
"Mình đợi và mua được đúng con máy màu hồng xinh lắm, máy mượt, pin trâu, nếu ai không quan trọng màn hình 60Hz và 120Hz với 2 so với 3 camera thì nên mua nhé",5,
"Dịch vụ tốt, nhân viên bán hàng nhiệt tình, vui vẻ, thân thiện",4,
Mua hàng hệ thống này bảo hành an tâm khỏi phải lo nghĩ khi trong thời gian còn bảo hành,5,
Tốt qá tuyệt vơi rât la ngon xai rât là xin mà mượt xem phim ko bị lắc.lướt face nhanh,5,
Pin trâu nhưg chơi có lúc máy nóng muốn nổ. Mà ko bt do máy hay do mình cập nhật lên ios 15.2 phải. Nhưg khuyên mn ko nên cập nhật ios 15.2 máy hay đơ với nóng,4,
"sạc nhanh rất tiện. pin khỏe dùng cả ngày liên tục mới hết pin. thiết kế gọn nhẹ trong lòng bàn tay, màu hồng rất xinh",5,
"Mua từ đợt đặt hàng đầu tiên, bị lỗi sập nguồn và k nhận tai nghe xong tgdd đổi cho cái khác và cái thứ 2 bị bụi trong camera lấy cái nữa phải chờ nên thôi chấp nhận mất 10% để dc hoàn tiền. Nói chung dịch vụ tgdd đổi trả nhanh gọn khá tốt nhưng k hiểu s cài điều khoản mất 10% vào nữa bóc 2 lần lỗi r thì ai còn muốn sử dụng sp đó nữa, cskh tốt, chính sách hút máu, gia công ip càng ngày càng tệ",2,
Tất cả điều ok chỉ duy nhất dùng 2 sim gọi messeger thì bị lag giật . Ko gọi đc zalo thì dùng ok tắt 1 sim để 1 sim thì lại gọi mesesge bình thường ae ai xài 13 thử xem có bị giống mình ko ?,4,
"Sau 1 tuần sử dụng cảm nhận máy chạy mượt, pin trâu, lướt fb với vài ứng dụng thì trụ dc hơn 1 ngày, videocall 4 tiếng thì tụt 44% khá tốt so với xs max cũ của mình. Dịch vụ giao hàng của tgdd rất tốt, nhân viên hỗ trợ nhiệt tình. Màu đỏ rất đẹp.",5,
mình mới mua máy dùng chủ yếu để coi tiktok với lướt face 1 tiếng tuột 10%pin có ổn không ạ,5,
Rat mượt .pin trâu..tính năng thì chưa biet hết...thôi kệ iphone pin trâu là ok roi,5,
Em cũng mới mua 1 tuần mà sao sạc 20w cở 60 70% lại bị nóng lên . Rồi khi đag sử dụng cũng nóng thì có bị s k ạ,3,
"Dùng dduocwj khoảng 1 tháng thì tôi có nhận xét sau: máy pin tốt , mà dạo này sóng sim cứ lúc đc 1 vạch lúc ko có vạch nào . Đặc bt sao mình sạc máy thì nóng giống như máy muốn nổ tung á . Mong tgdđ giải đáp",4,
Mk mới mua đk 1tuần mà máy sóng kém lúc nào cũg chỉ đk 2vạch sóng thôi.có phải máy bị lỗi sóng ko?,4,
"Mới mua hôm nay, cảm giác điện thoại rất tuyệt, nhân viên điện máy xanh K9, TT TVT, CM rất nhiệt tình, chu đáo. Bạn Duy tư vấn tận tình, và các bạn khác hổ trợ tối đa. Cảm thấy rất hài lòng về phục vụ của tgdd, đmx",5,
Mới mua một e iPhone13 ở ĐMX ấp hội nghĩa Tân Uyên Bình Dương phải nói rất êm không gì phải bàn.từ bảo vệ đến nhân viên phục vụ tận tình chu đáo rất dễ thương.Xin cảm ơn các bạn ĐMX hội nghĩa .TU.BD đã hỗ trợ rất nhiều,5,
"đã xài hơn 1 tháng, không chơi game nên pin xài được 2 ngày, camera ổn, nói chung là hài lòng",5,
Hôm nay mới mua đt ở tgdt có thắc mắc là khi gõ vào màn hình thì kêu bộp bộp như bị rỗng vậy? Không biết có phải máy nào cũng vậy không ạ?,3,
Mình có mua cái iphone màu hồng ngày 18/12 mà giờ mình muốn đổi lại cái màu trắng thì phải bù bnhieu v shop?,4,
+ pin trâu + cam thiếu tele zoom xa hơi bất tiện + mạng 4g không ổn định trừ 1 sao + sóng sánh không ổn khi dùng 2 sim trừ 1 sao,3,
"Cầm vừa tay, pin trâu. Nhưng để qua đêm thấy tụt 3-5% pin. Nói chung ko chê điểm gì",5,
Máy mua được 1 tuần. 1 đêm ko dùng tụt 5% có ổn ko ạ. Máy dùng 5 tiếng thì ht pin,3,
ok . rất tốt và hợp lí . nếu mà cho trả góp đc 2 con thì tốt hơn nữa hihe . iiiiiii,4,
Điện thoại e mỗi khi điện bên kia nghe là bị mất tiếg có tiếng không trong khi đó mạng rất bth mà máy cũ xài mấy năm điện thì ko bị tình trạng như vậy,3,
"Điện thoại đẹp, pin dùng rất khỏe, camera tốt..Nói chung không chê được ở điểm nào",5,
Thi thoảng đơ cảm ứng màn hình hài chán thật Không biết sẽ bảo hành cho mình như nào ạ,3,
"Mua 2 cái nhưng 1 cái bị lỗi phím tăng âm lượng, mang ra cửa hàng và được đổi cái mới. Nhân viên rất nhiệt tình và thân thiện.",5,
"Mới mua tối qua bên cửa hàng trên đường Nguyễn An Ninh, Dĩ An, Bình dương. Quản lý và nhân viên tư vấn hỗ trợ nhiệt tính chuyên nghiệp tuy là mua 2 cái có chờ hơi lâu đó phải đi lấy máy chỗ khác về nhưng với số với chỗ khác không có hàng để mua thì tốt hơn. Máy thật sự rất siêu phẩm màu đỏ tuyệt vời, màu đen ok. Dùng được 1 ngày pin trâu không xuống bao nhiêu. Đáng đồng tiền",5,
Mở mới mua hm 19/11 về dùng on Facebook vs TikTok 1h hết 9% pin như vậy ổn Ko vậy ad ơi,3,
Máy mạnh. Pin trâu chụp hình đẹp. Chỉ có sài màn hình to riết nhìn màn hình nhỏ ko quen. Các ban nv tư vấn nhiệt tình rất ok,5,
"Máy ngon, pin trâu, chụp hình đẹp, chụp đêm đỉnh, sạc nhanh đầy từ 9h sáng hôm trước mà 12h trưa hôm sau vẫn còn 30% Vài năm nữa có tiền sẽ tiếp tục lên đời iPhone, lúc trước xài android chán lắm",5,
"Mình lấy con 13 128gb màu pink ngày 30/10,sau vài ngày trãi nghiệm thì có nhận xét: Pin xài lâu,video điện ảnh có thể xoá phông,màn hình sáng đẹp,âm thanh hay. Cái màu hồng nude cực kỳ ưng luôn nhé!Đáng để nâng cấp.",5,
"Lấy hàng hôm 31/10, màu hồng xinh xĩu... pin trâu cực kì. Chờ đợi nửa tháng thì ẻm cũng về với mình. Ưng gì đâu luôn á.",5,
Lấy máy hôm 30.10.21 thanh toán bằng moca nhưng chưa thấy được hoàn tiền lại?????,4,
"vừa mới nhận ngày 27,trải nghiệm được 4 ngày, pin cực trâu, chụp hình đẹp.Nhân viên tư vấn rất chuyên nghiệp, nhiệt tình.",5,
Cam đẹp màn hình rất đẹp và sáng hơn 12. Đáng để nâng cấp nhé ae. Từ nhân viên đến quản lý siệu thị 113 nguyễn hệu tx bình long rất nhiệt tình và chu đáo,5,
Nhân viên Tư vấn rất nhiệt tình,5,
Mấy sai rất ok,5,
Mình thấy nhiều lúc mắn hình giả lac,5,
Nói chung sài trong hơn một tháng qua mọi thứ đều tốt chưa có vấn đề gì bận tâm cả còn về sau thì chưa giám đánh giá nói chung hài lòng với số tiền bỏ ra,4,
Sản phẩm ok tuy nhiên ai mua về cày game thì cân nhắc bản cao hơn còn Xiaomi redmi note 13 4G này thì cày game lâu lâu lác nên dùng cái này nghe gọi tác vụ bình thường thì quá ok,4,
cũng ok,5,
Mượt nhạy,5,
So với giá tiền thì ok ạ,5,
Máy dùng cơ bản cho phụ huynh ok,4,
Sản phẩm ok,5,
"Máy mượt, xứng đáng trong tầm giá",5,
Sản phẩm tốt giá rẻ,5,
Xai ok,5,
Với tầm giá này thì Xiaomi note 13 rất ok rồi,4,
Rất ok nhé,5,
Shop cho mk hỏi với ạ. Mk mua chiếc realme c55 ngày 15/12. Nhưng đến bh mk dùng thì mặt lưng có dấu hiệu bị phồng k va đập hay rơi rớt và bị ọp ẹp. Shop có đổi máy hay hoàn tiền đc k ạ,3,
Tốt,5,
Bên TGDĐ có thay mới kính cường lực với màn hình realme c55 không ạ,5,
