Comments,n_stars,len_cmt,Pin,Service,General,Others,SGeneral,SPin,SSer,SOth
"Mới mua máy được 1 ngày, thấy mọi thứ vẫn ổn, pin sài đc lâu, camera chụp tốt. Màn hình nhạy, mọi thứ tốt.",4,106,1,0,1,1,1,1.0,2.0,1.0
Thật xứng đáng đồng tiền bỏ ra mua con này sài quá ok với lại nhân viên nhiệt tình và thân thiện cho 10 sao luôn 😂😂,5,115,0,1,1,0,1,2.0,1.0,2.0
"Máy vừa tay, hơi nặng chút. Chơi game tốt và pin trâu, loa ấm và sâu, cam rất tốt. Màn không được sắc nét lắm. 15tr thì vẫn nên mua ip11 để đạt được độ tin cậy cao nhất.",5,169,1,0,0,1,2,1.0,2.0,1.0
Oppo Reno 11 5g máy đẹp camera đẹp sát nét pin Sài lâu nguyên ngày vẫn chưa hết,5,79,1,0,0,1,2,1.0,2.0,1.0
"Dùng đúng 1 tháng pin xuống còn 99 , để qua đêm thì tụt 3% pin, mà máy ko chơi, ko tải game gì cả",3,97,1,0,0,0,2,-1.0,2.0,2.0
"Điện thoại đẹp, pin dùng rất khỏe, camera tốt..Nói chung không chê được ở điểm nào",5,82,1,0,1,1,1,1.0,2.0,1.0
"Mua được 3 ngày. Lỗi đổi mới 1 lần. Cái mới đổi còn tệ hơn cái cũ. Liên hệ hỏi mà chưa thấy ad nào trả lời . Chắc mua này xong tạm biệt quá sáng giờ ko nghe được cuộc dt nào.đang nghe là im xong bấm tắt ko được, màn hình hiển thị lại là mình ko gọi được. 1 trải nghiệm rầu đời",2,276,0,1,0,1,2,2.0,-1.0,-1.0
"Mình mua ở tgdd thị xã gò công, nhân viên rất nhiệt tình, mình mua đc vài ngày nhưng cưa ngủ dậy là nất 10% pin mặc dù tắt hết ứng dụng, vị trí, tự động cập nhật và để cả chế độ máy bay. Nhờ cửa hàng tư vấn nhé! Mình cảm ơn",4,223,1,1,0,0,2,-1.0,1.0,2.0
"máy rất mượt, chơi game đã, camera đẹp, thái độ nhân viên vui vẻ nhiệt tình, có điều mình mua máy mới thì muốn tự tay bóc seal hơn. chị nhân viên tự bóc hộp, tự bóc dt mà mình xót hết cả ruột @@",4,194,0,1,0,1,2,2.0,0.0,1.0
"Giờ được tặng tai nghe, mới mua 2 bữa trước không có tặng. Vậy giờ có đc tặng thêm k ad",3,87,0,1,0,0,2,2.0,0.0,2.0
Máy xài tròn 1 tháng pin 100% sạc nhanh pin trâu chơi game dc 6 tiếng xài cả ngày ko hết pin nói chung trải nghiệm tốt chỉ về màn hình thì màu sắt xấu nếu so với con 7plus thì màu cho ra hiển thị không đẹp không biết do màn hình nay là do dòng 11 nó vậy,5,253,1,0,0,1,2,1.0,2.0,-1.0
Sau 2 tuần mình trải nghiệm sản phẩm phải nói là cực kỳ thích em nó luôn ý. Mình mới chuyển từ Android sang Ios nên có chút bối rối tí. Nhưng mà sản phẩm này quá tuyệt vời. Nhân viên phục vụ nhiệt tình.,5,202,0,1,1,0,1,2.0,1.0,2.0
"Mình mới mua 3 ngày mà bật thử backtap không được ạ, đã reset cũng không được. Giờ mình fix làm sao lỗi này ạ.",4,110,0,0,0,1,2,2.0,2.0,-1.0
Mới mua hôm qua tại thị trấn tân châu . 😜 thấy sài ok đó giờ toàn mua iphone samsung ở tgdd sài cái nào cũng ok,5,111,0,0,1,0,1,2.0,2.0,2.0
Mới mua một e iPhone13 ở ĐMX ấp hội nghĩa Tân Uyên Bình Dương phải nói rất êm không gì phải bàn.từ bảo vệ đến nhân viên phục vụ tận tình chu đáo rất dễ thương.Xin cảm ơn các bạn ĐMX hội nghĩa .TU.BD đã hỗ trợ rất nhiều,5,218,0,1,1,1,1,2.0,1.0,1.0
E mới mua máy dc hơn 6 tháng mà pin còn có 93% có phải gặp vấn đề về pin ko à ngày càng tụt nhanh,1,97,1,0,0,0,2,-1.0,2.0,2.0
"sạc nhanh rất tiện. pin khỏe dùng cả ngày liên tục mới hết pin. thiết kế gọn nhẹ trong lòng bàn tay, màu hồng rất xinh",5,118,1,0,0,1,2,1.0,2.0,1.0
Quà tặng tai nghe hẹn ngày lấy thì lại hẹn thêm vì chưa có hàng. Trong khi bạn mình mua cũng con này ở FPT thì đã có rồi. Lúc đầu tư vấn thì bảo quà có chung l mình mới đặt cọc để mua. Vì tai nghe cũ hư nên cần tai nghe mới. CellphoneS hay là FPT sẽ là những lựa chọn điểm mua điện thoại tiếp theo.,1,298,0,1,0,0,2,2.0,-1.0,2.0
"Máy mượt dùng tốt, nhân viên tư vấn nhiệt tình, hỗ trợ thắc mắc cũng nhiệt tình cẩn thận",5,88,0,1,1,1,1,2.0,1.0,1.0
Rat mượt .pin trâu..tính năng thì chưa biet hết...thôi kệ iphone pin trâu là ok roi,5,83,1,0,1,1,1,1.0,2.0,1.0
"Phải nói là máy quá tốt, pin trâu hơn dòng iphone trước. Ai không thích máy to, nặng như bản Pro max thì nên chọn mẫu này, thích nhất cách thiết kế Camera là điểm nhấn của máy. Nhân viên Tgdđ Phường 1, Tp Trà Vinh rất thân thiện",5,228,1,1,1,1,1,1.0,1.0,1.0
Mới mua mấy ngày.tất cả đều ổn chỉ có pin là quá kém tụt nhanh .không biết làm sao?,3,83,1,0,1,1,0,-1.0,2.0,1.0
appstore của em như này là bị sao ạ?? tự dưng nó bị vậy ạ đang dùng bình thường mà nó lên này ạ???,5,98,0,0,0,1,2,2.0,2.0,-1.0
đặt cọc trước mà giá vs quà còn thua bây giờ.. chưa hiểu TGDĐ làm ăn kiểu gì,3,76,0,1,0,0,2,2.0,-1.0,2.0
Sản phẩm tiền nào của nấy . Đáng giá nhất phân khúc hơn 10 củ . Androi thua 1 năm nếu tính độ lâu dài,5,101,0,0,1,1,0,2.0,2.0,1.0
phục vụ rất tốt nhân viên tgdd và điện máy xanh lúc nào cũng luôn chuyên nghiệp,5,79,0,1,0,0,2,2.0,1.0,2.0
Cảm giác loa máy rất dè. K biết mua dùng dc 30 ngày chưa dmx check thông tin giúp mình. Nghe k mượt bằng ip11 của mn,3,116,0,0,0,1,2,2.0,2.0,-1.0
"Mua bản màu xanh rất đẹp, mua màu khác hẳn các máy khác, mua trc Tết bây giờ mới vào comment Pin khoẻ, máy đẹp, phù hợp giá tiền, mua đúng đợt giảm 16,4tr. Vânz thích mua TGDD hơn vì hàng đảm bảo",5,195,1,1,0,1,2,1.0,1.0,1.0
Máy thì ok . Mà thế gioi di dộng với hãng bảo hành ko ra gì . Bảo hành thay màn thì kêu 800 thay xong gởi lên tịt nguồn. Tr đó nguồn vẫn lên bảo hành xong nguồn sụp. Lại gởi lại kêu thay men 1tr8 nữa . Bỏ luôn chứ thay j nữa . Vô trách nhiệm .,1,243,0,1,0,1,2,2.0,-1.0,1.0
21tr chụp bình thường thì đẹp mà zoom lên bị noise xấu qá :(( không biết có phải do phần mềm hay gì nữa ...,3,107,0,0,0,1,2,2.0,2.0,0.0
Máy dùng nhanh nóng và nhanh hết pin nha. Pin kém hơn so với các dòng trước,3,75,1,0,0,1,2,-1.0,2.0,-1.0
Mượt ngon đẹp Mỗi tội trả góp trả được khuyến mại cái gì. APple bớt ki bo đi nhé. Heyy 😩,5,88,0,0,1,1,1,2.0,2.0,1.0
Shop cho mk hỏi với ạ. Mk mua chiếc realme c55 ngày 15/12. Nhưng đến bh mk dùng thì mặt lưng có dấu hiệu bị phồng k va đập hay rơi rớt và bị ọp ẹp. Shop có đổi máy hay hoàn tiền đc k ạ,3,184,0,0,0,1,2,2.0,2.0,-1.0
Mình vừa mua iphone 11 màu trắng 64gb ở TGDĐ . Nhân viên phục vụ rất là tận tình và chu đáo . Dễ thương và hòa đồng với khách hàng. Nói chung là rất hài lòng và Ok 🥰,5,165,0,1,1,0,1,2.0,1.0,2.0
"Máy quốc dân thì thôi khỏi phải bàn, độ hoàn thiện chắc chắn hơn một hãng nào đó cùng tầm tiền.",5,95,0,0,1,1,0,2.0,2.0,1.0
Máy bình thường hơi giật lắc xíu sao nhanh hết PIN nhỉ pin 5000 mà chơi chưa được nữa ngày nữa đi sạc pin rồi.. Pin sạc rất nhanh tầm 30 phút lên 80 % pin nhưng sao nhanh hết PIN camera thì tốt cũng có lúc chụp hơi chậm đánh giá bình thường thôi chừng nào pin không tụt nhanh 5 sao,3,281,1,0,0,1,2,0.0,2.0,-1.0
"Buồn. Lúc mua k để ý cam. Chỉ chụp thử, về nhà mới thấy trong cam có hẳn 2hạt bụi. Mấy thẩm Mỹ quá. Mà k biết còn đổi đc nữa k",3,126,0,0,0,1,2,2.0,2.0,-1.0
"Máy đẹp, mọi thứ điều ok mua ở TGDĐ là yên tâm nhất, mua máy thứ 2 tại đây rồi .",5,80,0,1,1,1,1,2.0,1.0,1.0
"Máy màu xịn xinh dã man10 cho bạn giao hàng nha Vui vẽ nhiệt tình , giao hàng xa như mà rất nhanh",5,97,0,1,0,1,2,2.0,1.0,1.0
"Máy gặp lỗi micro nghe gọi, lên gặp nhân viên k hỗ trợ, thế giới di động làm ăn chán lắm, kêu gửi hành bảo hành, gửi chắc tới lẫn mới lấy máy",1,141,0,1,0,1,2,2.0,-1.0,-1.0
Sao mình mua máy về dùng thì máy chạy rất mượt nhưng mỗi tội sạc pin thì nâu quá vậy sạc 5h 6h mới đầy được vậy,4,111,1,0,1,1,1,-1.0,2.0,1.0
Mới mua ip11 chạy ios 14.4.2 máy rất nóng và nhanh tuột pin. Khi cập nhật lên ios 15 thì hết tình trạng trên và chạy rất mượt (chia sẻ đến mn) nhân viên tgdđ rất nhiệt tình,5,172,1,1,1,1,1,1.0,1.0,1.0
Sản phẩm về loa nghe gọi bình thường còn gọi Zalo hay Facebook rất rè. Nhân viên tgdđ ko có muốn giúp khách hàng khắc phục,2,122,0,1,0,1,2,2.0,-1.0,-1.0
"Dùng 3 tháng pin trên máy báo 99% nhưng trên 3utool lại 100%, dùng vừa tay, nói chung vẫn ok",4,92,1,0,1,0,1,0.0,2.0,2.0
"Máy mới mua được 4 ngày,xài bị lỗi bàn phím, lúc bấm được và không được, pin sạc đầy,rút ra để qua đêm,tắt hết wifi,4G,ứng dụng chạy nền sáng mất tận 10% pin,không hiểu nổi,màn hình có khi đang xài loạn cảm ứng nhẹ,thất vọng",3,224,1,0,0,1,2,-1.0,2.0,-1.0
"pin xuống nhanh,máy dùng bị nóng, sạc cũng nóng máy,k có cường lực xong xuất hiện mấy nốt chấm k biết là do màn hình hay do cái giấy bóng kính bên ngoài . tự dưng còn bị mất mạng ở 1 ứng dụng trong khi các ứng dụng khác vẫn có mạng .hối hận khi mua",2,248,1,0,0,1,2,-1.0,2.0,-1.0
"Sản phẩm của TGDD tôi rất hài lòng nha, mua máy từ 28/10 lúc máy vừa bán xài đến nay đã gần 5 tháng mà máy vẫn 100% pin tất cả đều mượt ủng hộ TGDD",5,147,1,1,1,1,1,1.0,1.0,1.0
"sử dụng gần 3 tháng pin còn 98% mặc dù sd rất kĩ. Sp tệ, k nên mua uổng tiền :))",2,80,1,0,1,0,-1,-1.0,2.0,2.0
"Ko có gì phải bàn cãi về chất lượng, sử dụng quá OK. Nhân viên nhiệt tình chu đáo 🤩",5,83,0,1,1,0,1,2.0,1.0,2.0
mình mới mua máy dùng chủ yếu để coi tiktok với lướt face 1 tiếng tuột 10%pin có ổn không ạ,5,91,1,0,0,0,2,-1.0,2.0,2.0
Mình mua iphone 11 chưa được 1 tháng nhưng có lúc bị đơ máy là bị sao vậy? Bên tgdd tư vấn cho mình về hiện tượng này với,3,121,0,0,0,1,2,2.0,2.0,-1.0
"máy mình mua đc 19 ngày tại cửa hàng, giờ mình muốn thanh lý lại thì mất bao nhiêu % ạ",4,86,0,0,0,1,2,2.0,2.0,0.0
"Sau 2 tuần sử dụng thì quá vừa lòng xứng đáng với số tiền bỏ ra..k có gì để chê.. chứ k phải như nhiều người chê màn hình hd gỗ.. vì nếu ai như mình từ 7,8 plus qua 11 thì quá phê.. pin thì khỏi bàn trâu hơn con sam sung pin 4500mah tóm lại là ngon lành cành đào 😘",5,264,1,0,1,0,1,1.0,2.0,2.0
Mua iphone11 ngày 29/12/2020 về sài hiệu năng mạnh pin dung dc 6”30 vs nhân viên phục vụ nhiệt tình,5,99,1,1,0,1,2,1.0,1.0,1.0
"sản phẩm rất tốt mình chỉ thắc mắc đt mình để qua đêm vẫn tuột pin 3-4% dù là tắt mạng dữ liệu, wifi, và tắt các trang dã bấm k còn lịch sử hoạt động?",5,150,1,0,1,0,1,-1.0,2.0,2.0
Máy dùng ok .khá mượt chỉ là hơi nhanh hết pin có lẽ là vì màn hình lớn nên cảm thấy tụt pin nhanh .nọi chúng tầm giá này là quá ok rồi,4,135,1,0,1,1,1,-1.0,2.0,1.0
Mọi thứ đều tốt Pìn 3100 xài 2 ngày quá tuyệt vời hệ điều hành Android pin 5k chỉ xài được 1 ngày. Nhân viên thế giới Di Động ở lai uyên bàu bàng bình dương phục vụ nhiệt tình rất tốt 👍⭐⭐⭐⭐,5,189,1,1,1,0,1,1.0,1.0,2.0
.dạ em vừa mua máy ở thế giới di động về em Sài thì âm thanh bình thường nhưng em tải game về thì vô game không có âm thanh trò chơi trong khi đó âm thanh trò chơi thì bật hết ai vậy là bị sao vậy ăn mong được giải đáp sớm nhất ạ . Xin cảm ơn,3,242,0,0,0,1,2,2.0,2.0,-1.0
Mình dùng được 2 ngày và cảm thấy mượt pin sạc 1 ngày 1 lần buổi tối dùng cả ngày hôm sau.,4,90,1,0,0,1,2,1.0,2.0,1.0
"Mình mới sử dụng nên chưa đánh giá đc nhiều máy đẹp, cứng cáp, mượtCó 1 vấn đề không hài lòng, có chương trình trợ giá dán cuong lực cho máy mà cửa hàng lại không dán miếng dáng cường lực cho máy. báo hết toàn hệ thống, vậy trợ giá này không sử dụng đuọc phải ra ngoài ý.",4,271,0,1,1,1,1,2.0,-1.0,1.0
"Nhân viên khá nhiệt tình, máy mua 2 tháng r khá ổn Chán cái phải mua sạc riêng mất 690k",5,87,0,1,1,1,0,2.0,1.0,-1.0
"Máy sài dc 12 ngày ok, 6 ngày còn lại ko nhận sim 2 lần, phải chờ gửi về hãng xem xét, bỏ 18tr ra để ngồi chờ máy về, quá bực bội, thất vọng thật luôn",1,150,0,0,0,1,2,2.0,2.0,-1.0
Sản phẩm ok tuy nhiên ai mua về cày game thì cân nhắc bản cao hơn còn Xiaomi redmi note 13 4G này thì cày game lâu lâu lác nên dùng cái này nghe gọi tác vụ bình thường thì quá ok,4,178,0,0,1,1,0,2.0,2.0,0.0
Mua máy ở hệ thống TGDD và ĐMX mình vô cùng tin tưởng luôn. Sẽ giới thiệu người thân mua ở đây.,5,95,0,1,1,0,1,2.0,1.0,2.0
"Đã mua và sử dụng,máy mượt,pin trâu,camera ổn,nhân viên tgdd 340-342 Võ Văn Ngân, Thủ Đức tuyệt vời nhất là bạn quản lý nữ tên Linh đã trực tiếp hỗ trợ mình làm mình cảm thấy cực kỳ hài lòng,cảm ơn bạn rất nhiều,sẽ tiếp tục ủng hộ tgdd trong thời gian tới",5,255,1,1,0,1,2,1.0,1.0,1.0
E mua điện thoại hồi tháng 2 xài đến giờ pin của nó vẫn 100% nhưng sao lượng pin có nó lại rất nhanh hết,4,104,1,0,0,0,2,-1.0,2.0,2.0
"ad ơi. sao cập nhật lên io 17.2 bị hao pin quá ad, có cách nào quay lại bản cũ ko ad",3,84,0,0,0,1,2,2.0,2.0,-1.0
"Máy chính hãng Apple, bóc seal khi nhận hàng, rất yên tâm khi mua sắm ở ĐMX. Sẽ còn ủng hộ công ty !",5,100,0,1,1,0,1,2.0,1.0,2.0
"Dùng được khoảng 1 tháng thì tôi có nhận xét sau: máy pin tốt , mà dạo này sóng sim cứ lúc đc 1 vạch lúc ko có vạch nào . Đặc bt sao mình sạc máy thì nóng giống như máy muốn nổ tung á . Mong tgdđ giải đáp",4,207,1,0,0,1,2,1.0,2.0,-1.0
Mình đa từng dùng chip MediaTek nhưng dùng sang con này có chip MediaTek g88 thấy ok mượt anh em nên mua,4,104,0,0,0,1,2,2.0,2.0,1.0
Iphone 11 mới mua dc 2 ngày về chưa làm rơi hay va chạm vào đâu tại sao lại bị hở 1 đường như vậy ạ,3,99,0,0,0,1,2,2.0,2.0,-1.0
"Máy khá đẹp, cấu hình dạng ổn. Màn hình sáng màu tươi có 90hz luôn thật tuyệt với tầm giá này",5,93,0,0,1,1,1,2.0,2.0,1.0
"Cấu hình ổn. Mỗi tội mau nóng máy vs tụt pin qua nhanh, mới lướt fb 1 tí mà đã nóng nóng rồi. Pin thì k dùng gì nhiều mà tụt nhanh lắm",3,134,1,0,0,1,2,-1.0,2.0,0.0
"Mới mua tại TGDD ngã 3 Finom Đức Trọng Lâm Đồng. Tuy ra đời gần 3 năm nhưng máy sài OK, cậu hình mượt, k chê vào đâu dc. Chứng tỏ Apple họ làm xứng đáng và danh hiệu smartphone cao cấp. Nhân viên bên đó rất nhiệt tình",5,217,0,1,1,1,1,2.0,1.0,1.0
"Nếu cần 1 chiếc iphone để dùng chung Ipad, Apple watch Airpod thì iphone 11 là sự lựa chọn hoàn hảo, còn nếu k sử dụng hệ sinh thái của nhà Táo thì trong tầm giá này các máy Androi có lẽ sẽ tốt hơn về mặc trải nghiệm",5,216,0,0,1,1,0,2.0,2.0,1.0
Mình đã dùng hơn 2tháng và thấy pin khoẻ chất lượng ok dù chưa biết hết công dụng của nó.,5,89,1,0,1,0,1,1.0,2.0,2.0
"Máy ok mà hơi mau hết pin, với cho em hỏi là sạc cục sạc nóng lên có sao không ạ ?",4,82,1,0,1,1,0,-1.0,2.0,-1.0
Mua từ 31/12 xài đến nay vẫn ổn chỉ có loa nó không ổn. Lúc to lúc nhỏ khi gọi thì lúc to lúc nhỏ không biết là do âm lượng của máy là vậy hay là do máy mình nó bị lỗi. Máy mình vẫn còn bảo hành 1 đổi 1 vậy mình có thể đổi máy khác ko?,4,235,0,0,1,1,0,2.0,2.0,-1.0
"Máy em mới mua 3 ngày mà em sạc dự phòng cho máy qua đêm đến sáng mà sạc vẫn chưa xong, tối máy em còn đến 46% mà sáng thì hết trơn pin tắt nguồn luôn vậy pin của máy em có bị hư kh ạ",4,183,0,0,0,1,2,2.0,2.0,-1.0
Mạnh. Làm sao tắt đc thanh báo vậy tđv. Đang chơi game mà lỡ chạm nhầm kéo xuống rất bất tiện ạ,3,95,0,0,1,1,1,2.0,2.0,-1.0
Sau khi chụp xong 3 tấm ảnh đối diện ánh sáng thì camera góc rộng có chấm xanh như thế này ạ (được khoanh vùng màu đỏ).góc siêu rộng chỉ thấy chấm xanh mờ.,1,155,0,0,0,1,2,2.0,2.0,-1.0
"Điện thoại nhanh hết pin, kết nối wif quá chậm, loa nghe nhỏ, nói chung tệ trong tầm giá",2,88,1,0,1,1,-1,-1.0,2.0,-1.0
Mình mua iphone 15 pro max 256 màu tự nhiên mới mua được 3 tháng sạc mới 60 lần mà máy đã tụt pin còn 97%. Mình tính mang ra tgdd kiểm tra. K biết pin tụt nhah như vậy là máy lỗi hay sao ạ,4,188,1,0,0,0,2,-1.0,2.0,2.0
ad cho em hỏi em mới mua con 15 bên mình mà em cầm đt lắc thì kiểu như cam sau nó bị hơi rung cam sau thì có bị gì không vậy ad,4,127,0,0,0,1,2,2.0,2.0,-1.0
Máy mới mua chưa được 1 tháng nhưng hay bị lỗi Panicfull và ResetCounter thì có được đổi lại máy khác k vậy,3,107,0,0,0,1,2,2.0,2.0,-1.0
Hôm qua mua ip 15prm titan xanh giá full phụ kiện là 34.990 mà sao giờ lên xem titanxanh mà giá có 34.490 vậy ad,3,112,0,1,0,0,2,2.0,0.0,2.0
"Good, đã mua một cái titan xanh, hôm qua dứt thêm cái thứ 2 titan tự nhiên.Mình fan táo từ thời 3GS tới giờ",5,107,0,0,1,1,1,2.0,2.0,1.0
"Máy mới mua 2 tháng đã hư cổng sạc Type C. Cài gửi đi bảo hành mất thời gian. Mất phí chuyển đổi từ eSIM sang SIM vật lý. Mong nhận được phí hoàn trả 35,000 từ các bạn.",1,168,0,1,0,1,2,2.0,-1.0,-1.0
"Mới dùng được 2 tháng bóc ốp ra lau máy mà nó tróc cái xi ra luôn, tự nhiên thấy cái máy dỏm hẳn, anh em mua né màu xanh ra nhé. 14 promax màu vàng dùng cả năm chả bị miếng xước nào, chánnnnnnnn",2,194,0,0,1,1,-1,2.0,2.0,-1.0
cho mình hỏi mình mới mua iphone 15pro max bên mình nhưng sao khi sạc từ pin dự phòng vào nó không nhận chỉ nháy báo vào sạc xong mất nó lại báo liên tục vậy,4,157,0,0,0,0,2,2.0,2.0,2.0
"Luôn yên tâm mua hàng tại ĐMX và TGDD, Iphone 15 Promax nhẹ hơn 14 Promax, cầm chắc tay, pin trâu, Titan màu bạc đẹp xuất sắc, nhân viên ĐXM TT. Cái Dầu, Châu Phú, AG rất nhiệt tình. Luôn ủng hộ shop",5,199,1,1,0,1,2,1.0,1.0,1.0
"Năm nay không ngờ giá ở tgdđ tốt như vậy luôn rẻ hơn hệ thống bán lẻ khác. Ip 15prm rất nhẹ, cảm giác cầm nắm tốt. Mỗi tội pin hẻo, tụt hơi nhanh.",5,146,1,1,1,1,0,-1.0,0.0,1.0
1 sao vì phần quà tặng ốp lưng quá tệ ốp thì cứng lắp vào thì cào xước hết phần thành của điện thoại.tgdd k test phần quà tặng trước khi tặng à,1,143,0,1,0,0,2,2.0,0.0,2.0
"Màn mình s24ultra năm nay xấu tệ , camera chụp ảnh bị noise nhiều , pin nhanh hết , tóm lại thua s23ul rất xa Hối hận khi mua s24ultra",1,134,1,0,0,1,2,-1.0,2.0,-1.0
"Đặt cọc để sở hữu sớm mà giá cao hơn ko cọc, lại còn không được tặng tai nghe nữa, quá chán. Tgdd làm ăn kiểu này sẽ sớm mất hêt khách hàng",1,139,0,1,0,0,2,2.0,-1.0,2.0
"Đặt cọc trước, là 1 trong những người đầu tiên sở hữu bản thương mại mà giờ mua online giá còn rẻ hơn lại có thêm quà nữa. Nay cạch TGDĐ luôn",1,141,0,1,0,0,2,2.0,-1.0,2.0
"Mua đặt cọc mà giá đắt hơn cả ko cọc. Cách nhau có 1 tuần mà giá cách nhau 5 triệu. Thế này thì lần sau sang chỗ khác mua thôi, từ bỏ tgdd luôn",4,143,0,1,0,0,2,2.0,-1.0,2.0
Tôi mua 3 cái. Đặt cọc trước. Giảm tổng 6tr. Mà bây giờ giá và quà tặng còn giá trị hơn cả việc đặt cọc trước. Tôi không hiểu chính sách bán hàng của TGDD như thế nào nữa,1,170,0,1,0,0,2,2.0,-1.0,2.0
"ai nói sao chứ, tui mới mua dc 3 ngày sài thấy êm lắm mà ta, pin trâu, tốc độ sử lý cũg nhanh, máy cũng khôg nóng mấy chỉ ấm lên 1 chút thôi. noi chug máy đẹp sài êm",5,165,1,0,0,1,2,1.0,2.0,1.0
"Mới mua được 1 tháng 2 ngày nhưng pin tuột nhanh, máy dùng được khoảng hơn 15p là bị nóng, đôi lúc xem video bị đơ màn hình Thua con Oppo F7 lúc trước xa",3,153,1,0,0,1,2,-1.0,2.0,-1.0
Máy tốt pin cũng ok đặc biệt vào mạng khỏe tôi rất hài lòng về sản phẩm mong sao dùng bền theo năm tháng,5,104,1,0,1,1,1,1.0,2.0,1.0
Đc mỗi cái màn cong 120hz.sạc nhanh 67w.còn mọi thứ thua cái đt 6tr...mạng lác dật..pin xả như điện..sài cái Vivo s1 pro 5 năm..bị lỗi men mới đổi sang con này..hết ham..mới đổi chưa đc tháng,3,191,1,0,0,1,2,-1.0,2.0,1.0
máy dùng cung okela chỉ có cái là mỗi khi vô ứng dụng là wifi lại yếu bớt hẳn và chưa có kính cường lực ạ,4,105,0,1,1,1,0,2.0,-1.0,-1.0
"Máy Sài cũng đc . Nhưng bìn tuột nhanh quá. Ngày sắc 5 , 6 lần . Còn thừa cả máy Samsung A50. Sài 4 5 năm .",3,107,1,0,1,0,0,-1.0,2.0,2.0
Mình có mua oppo reno11 5G bị lỗi màn hình 1 đổi 1 nhanh lẹ.nv nhiệt tình...dù mk có thắc mắt nhiều chuyện thì các bạn cũng giải đáp mọi câu hỏi.mình dành cho các bạn 5,5,168,0,1,0,1,2,2.0,1.0,1.0
Pin dùng được 1 ngày. Hơi nóng máy khi quay phim chụp hình liên tục. Ảnh chụp cho ra bức ảnh đẹp ko ảo.... Nói chung dùng chụp hình thì vô đối trong tầm giá đt chính hãng.,4,171,1,0,0,1,2,1.0,2.0,0.0
T mới mua đt này.. mang sang nước ngoài để dùng . Nhưng máy lắp sim vào k dùng đc.. giờ muốn trả lại có đc ko..,4,111,0,0,0,1,2,2.0,2.0,-1.0
Làm ơn hộ trợ mình với. Mình vừa mua máy vào Facebook các bài có đường link nhưng ko ấn vào đường link để xem được. Là bị sao,3,125,0,0,0,1,2,2.0,2.0,-1.0
"MÁY MUA ĐƯỢC 7 THÁNG MÀN HÌNH BỊ SỌC MÀU TRẮNG XANH VÀNG ĐỎ,GỬI ĐI BẢO HÀNH HƠN 1 TUẦN RỒI,KHÔNG BIẾT NHƯ THẾ NÀO,RẤT BUỒN...",1,125,0,1,0,1,2,2.0,0.0,-1.0
Đẹp cầm vừa tay gọn thêm ốp nữa là ok Mình mua đc hơn 1th r chưa thấy vấn đề gì Nhân viên TGDĐ phương lâm tân phú đồng nai phục vụ khách hàng rất tốt vui vẻ chỉn chu cài đặt từ a đến z rất ưng ý,5,194,0,1,1,1,1,2.0,1.0,1.0
"Anh/ chị em sinh đôi khi cài face id trên iphone 13, người này vẫn mở khoá face id trên điện thoại của người kia được. Điều này không thật sự bảo mật trên thiết bị iphone như mình nghĩ",4,184,0,0,0,1,2,2.0,2.0,-1.0
"Mình mua và sử dụng củng được vài tháng ròi ,mua vì hàng đập hộp cho an tâm nào dè sài chán ,máy nóng mau tuột pin ,60hz chậm , màu hồng đẹp",2,140,1,0,1,1,-1,-1.0,2.0,-1.0
"Sao mình mua dùng đc 6 ngày mà bàn phím đang đánh chữ nó cứ tự nhảy sang số là sao nhỉ, có phải bị lỗi cảm ứng ko",4,113,0,0,0,1,2,2.0,2.0,-1.0
Mục đích mình sử dụng đơn giản lên cũng chẳng biết đánh giá sao. Nhưng có đặc điểm là mình không còn thấy nhức mỏi mắt như lúc mình dùng oppo và live. Nghe gọi đây doc nét ko bị vấp,5,181,0,0,1,1,0,2.0,2.0,1.0
Mua về chưa dùng được một tối. Đã lỗi ko nhận sim. Kết quả phải gửi bảo hành…. Bây giờ chờ 15 ngày nữa ko biết có máy dùng ko. Bỏ tiền mua rắc rối bực tức 😩😩😡😡,1,159,0,1,0,1,2,2.0,-1.0,-1.0
"Đối với mình máy ok, có 1 vấn đề là vào camera chụp hình thì tí bị văng ra. Bên tgdd có cách nào khắc phục không, mình cũng khởi động lại thiết bị rồi. Hay cần ra trực tiếp cửa hàng ạ.",4,184,0,0,1,1,0,2.0,2.0,-1.0
Mới mua được 5 tháng mà bị hỡ keo bung màng ráng đem gửi bảo hành hi vọng sẽ trở về trạng thái ban đầu,1,102,0,0,0,1,2,2.0,2.0,-1.0
Cuộc tình dù đúng hay sai thì xem phần bình luận và đánh giá của iphone vẫn cảm thấy yên tâm nhất. Các hãng khác thấy toàn bị chê,5,129,0,0,1,1,0,2.0,2.0,1.0
Thời gian trước hay mua quán lẻ ở ngoài máy kém chất lượng. Từ khi mua máy từ thời iphon 6s tới 13 sài máy tgdd yên tâm thật .,5,126,0,1,1,0,0,2.0,1.0,2.0
Sảm phầm dùng sau gần 3 tháng khá ok. Thời lượng pin tốt. Trải nghiệm hiệu năng tốt. Máy ảnh dùng mức khá so với dòng Flaship,5,125,1,0,1,1,0,1.0,2.0,1.0
